"SourceSheet","SourceRowNo","SiteCode","TargetCode","TrainNo","ModuleNo","SlotName","LocationId","ParentLocationId","SlotKind","IsInstallable","NeedsReview","OriginalAttribute"
"坑位1","205","D","TS","101","M5","TCU卡板","50-D-TS101-M5-CC400-TCU","50-D-TS101-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","206","D","TS","101","M5","牽引電抗器","50-D-TS101-M5-CC400-TRAC/Reactor","50-D-TS101-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","207","D","TS","101","M5","輔電電抗器","50-D-TS101-M5-CC400-AUX/Reactor","50-D-TS101-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","208","D","TS","101","M5","儲能裝置電抗器","50-D-TS101-M5-CC400-ESS/Reactor","50-D-TS101-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","209","D","TS","101","M5","高頻整流器模組(XC)","50-D-TS101-M5-CC400-XC","50-D-TS101-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","210","D","TS","101","M5","輔助變流器模組(AUX)","50-D-TS101-M5-CC400-AUX","50-D-TS101-M5-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","211","D","TS","101","M5","煞車電阻器(含箱體)","50-D-TS101-M5-BRES","50-D-TS101-M5-CC400","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","213","D","TS","101","M5","轉向架","50-D-TS101-M5-BOGIE","50-D-TS101-M5","ASSEMBLY","True","False","🟩 總成"
"坑位1","214","D","TS","101","M5","齒輪箱總成-L5","50-D-TS101-M5-BOGIE-GB-AX5L","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","215","D","TS","101","M5","齒輪箱總成-L6","50-D-TS101-M5-BOGIE-GB-AX6L","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","216","D","TS","101","M5","齒輪箱總成-R5","50-D-TS101-M5-BOGIE-GB-AX5R","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","217","D","TS","101","M5","齒輪箱總成-R6","50-D-TS101-M5-BOGIE-GB-AX6R","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","218","D","TS","101","M5","動力式車輪-L5","50-D-TS101-M5-BOGIE-WHL-AX5L","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","219","D","TS","101","M5","動力式車輪-L6","50-D-TS101-M5-BOGIE-WHL-AX6L","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","220","D","TS","101","M5","動力式車輪-R5","50-D-TS101-M5-BOGIE-WHL-AX5R","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","221","D","TS","101","M5","動力式車輪-R6","50-D-TS101-M5-BOGIE-WHL-AX6R","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","222","D","TS","101","M5","動力式煞車卡鉗總成-L5","50-D-TS101-M5-BOGIE-BCAL-AX5L","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","223","D","TS","101","M5","動力式煞車卡鉗總成-L6","50-D-TS101-M5-BOGIE-BCAL-AX6L","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","224","D","TS","101","M5","動力式煞車卡鉗總成-R5","50-D-TS101-M5-BOGIE-BCAL-AX5R","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","225","D","TS","101","M5","動力式煞車卡鉗總成-R6","50-D-TS101-M5-BOGIE-BCAL-AX6R","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","226","D","TS","101","M5","牽引馬達總成-L5(TM4)","50-D-TS101-M5-BOGIE-TM-AX5L","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","227","D","TS","101","M5","牽引馬達總成-L6(TM3)","50-D-TS101-M5-BOGIE-TM-AX6L","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","228","D","TS","101","M5","牽引馬達總成-R5(TM2)","50-D-TS101-M5-BOGIE-TM-AX5R","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","229","D","TS","101","M5","牽引馬達總成-R6(TM1)","50-D-TS101-M5-BOGIE-TM-AX6R","50-D-TS101-M5-BOGIE","COMPONENT","True","False","🟦 子件"
"generated","","D","TS","102","M1","102車 M1","50-D-TS102-M1","","MODULE","False","False","MODULE"
"generated","","D","TS","102","M2","102車 M2","50-D-TS102-M2","","MODULE","False","False","MODULE"
"generated","","D","TS","102","M3","102車 M3","50-D-TS102-M3","","MODULE","False","False","MODULE"
"generated","","D","TS","102","M4","102車 M4","50-D-TS102-M4","","MODULE","False","False","MODULE"
"generated","","D","TS","102","M5","102車 M5","50-D-TS102-M5","","MODULE","False","False","MODULE"
"坑位1","4","D","TS","102","M1","TETRA收發機(Tetra Transceiver)","50-D-TS102-M1-TETRA","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","5","D","TS","102","M1","影像連結單元(Video link)","50-D-TS102-M1-VID","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","6","D","TS","102","M1","車載控制單元(OBCU)","50-D-TS102-M1-OBCU","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","7","D","TS","102","M1","網管型乙太網路交換器(駕駛室)","50-D-TS102-M1-ETH/CAB","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","8","D","TS","102","M1","Wi-Fi模組","50-D-TS102-M1-WIFI","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","10","D","TS","102","M1","BPI界面轉換器","50-D-TS102-M1-BPI","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","11","D","TS","102","M1","速度監控HMI","50-D-TS102-M1-HMI","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","13","D","TS","102","M1","主控制器總成","50-D-TS102-M1-MC","50-D-TS102-M1","ASSEMBLY","True","False","🟩 總成"
"坑位1","14","D","TS","102","M1","GPS機","50-D-TS102-M1-GPS","50-D-TS102-M1","COMPONENT","True","False","🟦 子件"
"坑位1","16","D","TS","102","M1","車輛控制單元(VCU)","50-D-TS102-M1-VCU","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","18","D","TS","102","M1","駕駛室空調總成","50-D-TS102-M1-CABAC","50-D-TS102-M1","ASSEMBLY","True","False","🟩 總成"
"坑位1","19","D","TS","102","M1","空調控制器KN700","50-D-TS102-M1-CABAC-CTRL","50-D-TS102-M1-CABAC","COMPONENT","True","False","🟦 子件"
"坑位1","20","D","TS","102","M1","空調渦捲式壓縮機","50-D-TS102-M1-CABAC-COMP","50-D-TS102-M1-CABAC","COMPONENT","True","False","🟦 子件"
"坑位1","21","D","TS","102","M1","空調變頻器","50-D-TS102-M1-CABAC-INV","50-D-TS102-M1-CABAC","COMPONENT","True","False","🟦 子件"
"坑位1","23","D","TS","102","M1","車門控制單元(DCU)-L","50-D-TS102-M1-DCU-L","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","24","D","TS","102","M1","車門控制單元(DCU)-R","50-D-TS102-M1-DCU-R","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","25","D","TS","102","M1","驅動馬達-L","50-D-TS102-M1-DMOT-L","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","26","D","TS","102","M1","驅動馬達-R","50-D-TS102-M1-DMOT-R","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","28","D","TS","102","M1","旅客緊急對講機(PEI)-L","50-D-TS102-M1-PEI-L","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","29","D","TS","102","M1","旅客緊急對講機(PEI)-R","50-D-TS102-M1-PEI-R","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","30","D","TS","102","M1","網管型乙太網路交換器(模組1/2/4/5)","50-D-TS102-M1-ETH/SW","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","32","D","TS","102","M1","撒砂裝置空壓機","50-D-TS102-M1-SD/COMP","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","33","D","TS","102","M1","輪緣潤滑壓縮機","50-D-TS102-M1-FLUB/COMP","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","35","D","TS","102","M1","煞車控制單元(BCU)總成","50-D-TS102-M1-BCU","50-D-TS102-M1","ASSEMBLY","True","False","🟩 總成"
"坑位1","36","D","TS","102","M1","BCU_(AIO)類比輸入/輸出板","50-D-TS102-M1-BCU-AIO","50-D-TS102-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","37","D","TS","102","M1","BCU_(CIB)控制器網路界面板","50-D-TS102-M1-BCU-CIB","50-D-TS102-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","38","D","TS","102","M1","BCU_(CPU)中央處理器板","50-D-TS102-M1-BCU-CPU","50-D-TS102-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","39","D","TS","102","M1","BCU_(DIO)數位輸入/輸出板","50-D-TS102-M1-BCU-DIO","50-D-TS102-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","40","D","TS","102","M1","BCU_(PSB)電源板","50-D-TS102-M1-BCU-PSB","50-D-TS102-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","41","D","TS","102","M1","BCU_(VCB)閥控制板","50-D-TS102-M1-BCU-VCB","50-D-TS102-M1-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","43","D","TS","102","M1","牽引換流器及輔助電源異常(CC400)","50-D-TS102-M1-CC400","50-D-TS102-M1","ASSEMBLY","True","False","🟩 總成"
"坑位1","44","D","TS","102","M1","ACU卡板","50-D-TS102-M1-CC400-ACU","50-D-TS102-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","45","D","TS","102","M1","TCU卡板","50-D-TS102-M1-CC400-TCU","50-D-TS102-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","46","D","TS","102","M1","牽引電抗器","50-D-TS102-M1-CC400-TRAC/Reactor","50-D-TS102-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","47","D","TS","102","M1","輔電電抗器","50-D-TS102-M1-CC400-AUX/Reactor","50-D-TS102-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","48","D","TS","102","M1","儲能裝置電抗器","50-D-TS102-M1-CC400-ESS/Reactor","50-D-TS102-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","49","D","TS","102","M1","高頻整流器模組(XC)","50-D-TS102-M1-CC400-XC","50-D-TS102-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","50","D","TS","102","M1","輔助變流器模組(AUX)","50-D-TS102-M1-CC400-AUX","50-D-TS102-M1-CC400","COMPONENT","True","False","🟦 子件"
"坑位1","51","D","TS","102","M1","煞車電阻器(含箱體)","50-D-TS102-M1-BRES","50-D-TS102-M1","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","53","D","TS","102","M1","轉向架","50-D-TS102-M1-BOGIE","50-D-TS102-M1","ASSEMBLY","True","False","🟩 總成"
"坑位1","54","D","TS","102","M1","動力式車輪-L1","50-D-TS102-M1-BOGIE-WHL-AX1L","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","55","D","TS","102","M1","動力式車輪-L2","50-D-TS102-M1-BOGIE-WHL-AX2L","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","56","D","TS","102","M1","動力式車輪-R1","50-D-TS102-M1-BOGIE-WHL-AX1R","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","57","D","TS","102","M1","動力式車輪-R2","50-D-TS102-M1-BOGIE-WHL-AX2R","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","58","D","TS","102","M1","齒輪箱總成-L1","50-D-TS102-M1-BOGIE-GB-AX1L","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","59","D","TS","102","M1","齒輪箱總成-L2","50-D-TS102-M1-BOGIE-GB-AX2L","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","60","D","TS","102","M1","齒輪箱總成-R1","50-D-TS102-M1-BOGIE-GB-AX1R","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","61","D","TS","102","M1","齒輪箱總成-R2","50-D-TS102-M1-BOGIE-GB-AX2R","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","62","D","TS","102","M1","動力式煞車卡鉗總成-L1","50-D-TS102-M1-BOGIE-BCAL-AX1L","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","63","D","TS","102","M1","動力式煞車卡鉗總成-L2","50-D-TS102-M1-BOGIE-BCAL-AX2L","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","64","D","TS","102","M1","動力式煞車卡鉗總成-R1","50-D-TS102-M1-BOGIE-BCAL-AX1R","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","65","D","TS","102","M1","動力式煞車卡鉗總成-R2","50-D-TS102-M1-BOGIE-BCAL-AX2R","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","66","D","TS","102","M1","牽引馬達總成-L1(TM1)","50-D-TS102-M1-BOGIE-TM-AX1L","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","67","D","TS","102","M1","牽引馬達總成-L2(TM2)","50-D-TS102-M1-BOGIE-TM-AX2L","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","68","D","TS","102","M1","牽引馬達總成-R1(TM3)","50-D-TS102-M1-BOGIE-TM-AX1R","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","69","D","TS","102","M1","牽引馬達總成-R2(TM4)","50-D-TS102-M1-BOGIE-TM-AX2R","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","70","D","TS","102","M1","煞車液壓單元總成(EHU)","50-D-TS102-M1-BOGIE-EHU","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","71","D","TS","102","M1","輔助液壓單元總成(AHU)","50-D-TS102-M1-BOGIE-AHU","50-D-TS102-M1-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","75","D","TS","102","M2","車門控制單元(DCU)-L","50-D-TS102-M2-DCU-L","50-D-TS102-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","76","D","TS","102","M2","車門控制單元(DCU)-R","50-D-TS102-M2-DCU-R","50-D-TS102-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","77","D","TS","102","M2","驅動馬達-L","50-D-TS102-M2-DMOT-L","50-D-TS102-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","78","D","TS","102","M2","驅動馬達-R","50-D-TS102-M2-DMOT-R","50-D-TS102-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","80","D","TS","102","M2","旅客緊急對講機(PEI)-L","50-D-TS102-M2-PEI-L","50-D-TS102-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","81","D","TS","102","M2","旅客緊急對講機(PEI)-R","50-D-TS102-M2-PEI-R","50-D-TS102-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","82","D","TS","102","M2","IP擴音器","50-D-TS102-M2-PA-IP","50-D-TS102-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","83","D","TS","102","M2","網管型乙太網路交換器(模組1/2/4/5)","50-D-TS102-M2-ETH-SW","50-D-TS102-M2","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","85","D","TS","102","M2","客室空調總成-R1","50-D-TS102-M2-PAC-R1","50-D-TS102-M2","ASSEMBLY","True","False","🟩 總成"
"坑位1","86","D","TS","102","M2","空調渦捲式壓縮機-R1","50-D-TS102-M2-PAC-R1-COMP","50-D-TS102-M2-PAC-R1","COMPONENT","True","False","🟦 子件"
"坑位1","87","D","TS","102","M2","空調控制器KN700-R1","50-D-TS102-M2-PAC-R1-CTRL","50-D-TS102-M2-PAC-R1","COMPONENT","True","False","🟦 子件"
"坑位1","88","D","TS","102","M2","客室空調總成-L2","50-D-TS102-M2-PAC-L2","50-D-TS102-M2","ASSEMBLY","True","False","🟩 總成"
"坑位1","89","D","TS","102","M2","空調渦捲式壓縮機-L2","50-D-TS102-M2-PAC-L2-COMP","50-D-TS102-M2-PAC-L2","COMPONENT","True","False","🟦 子件"
"坑位1","90","D","TS","102","M2","空調控制器KN700-L2","50-D-TS102-M2-PAC-L2-CTRL","50-D-TS102-M2-PAC-L2","COMPONENT","True","False","🟦 子件"
"坑位1","92","D","TS","102","M2","儲能電池(ESS)總成","50-D-TS102-M2-ESS","50-D-TS102-M2","ASSEMBLY","True","False","🟩 總成"
"坑位1","93","D","TS","102","M2","冷卻器總成","50-D-TS102-M2-ESS-COOL","50-D-TS102-M2-ESS","COMPONENT","True","False","🟦 子件"
"坑位1","97","D","TS","102","M3","旅客緊急對講機(PEI)-L","50-D-TS102-M3-PEI-L","50-D-TS102-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","98","D","TS","102","M3","旅客緊急對講機(PEI)-R","50-D-TS102-M3-PEI-R","50-D-TS102-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","99","D","TS","102","M3","網管型乙太網路交換器(模組3)","50-D-TS102-M3-ETH-SW","50-D-TS102-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","101","D","TS","102","M3","中央控制單元(CCU)","50-D-TS102-M3-CCU","50-D-TS102-M3","ASSEMBLY","True","False","🟩 總成"
"坑位1","102","D","TS","102","M3","1030卡板(CCU內)","50-D-TS102-M3-CCU-1030","50-D-TS102-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","103","D","TS","102","M3","1092卡板(CCU內)","50-D-TS102-M3-CCU-1092","50-D-TS102-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","104","D","TS","102","M3","A212卡板(CCU內)","50-D-TS102-M3-CCU-A212","50-D-TS102-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","105","D","TS","102","M3","DIO-16A/15E卡板","50-D-TS102-M3-CCU-DIO","50-D-TS102-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","106","D","TS","102","M3","HIST V4卡版","50-D-TS102-M3-CCU-HIST","50-D-TS102-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","107","D","TS","102","M3","REL V3卡板","50-D-TS102-M3-CCU-REL","50-D-TS102-M3-CCU","COMPONENT","True","False","🟦 子件"
"坑位1","108","D","TS","102","M3","速度轉換器 (GMU)","50-D-TS102-M3-GMU","50-D-TS102-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","109","D","TS","102","M3","應答器天線-L","50-D-TS102-M3-BALISE-L","50-D-TS102-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","110","D","TS","102","M3","應答器天線-R","50-D-TS102-M3-BALISE-R","50-D-TS102-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","111","D","TS","102","M3","ATP乙太網交換機","50-D-TS102-M3-ATP-SW","50-D-TS102-M3","INDEPENDENT","True","False","⬜ 獨立件"
"坑位1","113","D","TS","102","M3","煞車控制單元(BCU)總成","50-D-TS102-M3-BCU","50-D-TS102-M3","ASSEMBLY","True","False","🟩 總成"
"坑位1","114","D","TS","102","M3","BCU_(AIO)類比輸入/輸出板","50-D-TS102-M3-BCU-AIO","50-D-TS102-M3-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","115","D","TS","102","M3","BCU_(CIB)控制器網路界面板","50-D-TS102-M3-BCU-CIB","50-D-TS102-M3-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","116","D","TS","102","M3","BCU_(CPU)中央處理器板","50-D-TS102-M3-BCU-CPU","50-D-TS102-M3-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","117","D","TS","102","M3","BCU_(DIO)數位輸入/輸出板","50-D-TS102-M3-BCU-DIO","50-D-TS102-M3-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","118","D","TS","102","M3","BCU_(PSB)電源板","50-D-TS102-M3-BCU-PSB","50-D-TS102-M3-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","119","D","TS","102","M3","BCU_(VCB)閥控制板","50-D-TS102-M3-BCU-VCB","50-D-TS102-M3-BCU","COMPONENT","True","False","🟦 子件"
"坑位1","120","D","TS","102","M3","煞車液壓單元總成(EHU)","50-D-TS102-M3-EHU","50-D-TS102-M3","ASSEMBLY","True","False","🟩 總成"
"坑位1","121","D","TS","102","M3","輔助液壓單元總成(AHU)","50-D-TS102-M3-AHU","50-D-TS102-M3","ASSEMBLY","True","False","🟩 總成"
"坑位1","123","D","TS","102","M3","高速斷路器總成","50-D-TS102-M3-HSCB","50-D-TS102-M3","ASSEMBLY","True","False","🟩 總成"
"坑位1","124","D","TS","102","M3","集電弓總成","50-D-TS102-M3-PANTO","50-D-TS102-M3","ASSEMBLY","True","False","🟩 總成"
"坑位1","125","D","TS","102","M3","集電弓主軸驅動器","50-D-TS102-M3-PANTO-DRV","50-D-TS102-M3-PANTO","COMPONENT","True","False","🟦 子件"
"坑位1","127","D","TS","102","M3","行車監視紀錄器總成","50-D-TS102-M3-TDR","50-D-TS102-M3","ASSEMBLY","True","False","🟩 總成"
"坑位1","128","D","TS","102","M3","診斷CPU","50-D-TS102-M3-TDR-CPU","50-D-TS102-M3-TDR","COMPONENT","True","False","🟦 子件"
"坑位1","130","D","TS","102","M3","轉向架","50-D-TS102-M3-BOGIE","50-D-TS102-M3","ASSEMBLY","True","False","🟩 總成"
"坑位1","131","D","TS","102","M3","非動力式車輪-L3","50-D-TS102-M3-BOGIE-WHL-AX3L","50-D-TS102-M3-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","132","D","TS","102","M3","非動力式車輪-L4","50-D-TS102-M3-BOGIE-WHL-AX4L","50-D-TS102-M3-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","133","D","TS","102","M3","非動力式車輪-R3","50-D-TS102-M3-BOGIE-WHL-AX3R","50-D-TS102-M3-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","134","D","TS","102","M3","非動力式車輪-R4","50-D-TS102-M3-BOGIE-WHL-AX4R","50-D-TS102-M3-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","135","D","TS","102","M3","非動力式煞車卡鉗總成-L3","50-D-TS102-M3-BOGIE-BCAL-AX3L","50-D-TS102-M3-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","136","D","TS","102","M3","非動力式煞車卡鉗總成-L4","50-D-TS102-M3-BOGIE-BCAL-AX4L","50-D-TS102-M3-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","137","D","TS","102","M3","非動力式煞車卡鉗總成-R3","50-D-TS102-M3-BOGIE-BCAL-AX3R","50-D-TS102-M3-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","138","D","TS","102","M3","非動力式煞車卡鉗總成-R4","50-D-TS102-M3-BOGIE-BCAL-AX4R","50-D-TS102-M3-BOGIE","COMPONENT","True","False","🟦 子件"
"坑位1","142","D","TS","102","M4","車門控制單元(DCU)-L","50-D-TS102-M4-DCU-L","50-D-TS102-M4","INDEPENDENT","True","False","⬜ 獨立件"
